doc_id,para_index,position,gold_label,text
train_00000,6,0.04,facts,"The appellant who was as Assistant Engineer in the Central Public Works Department was placed under suspension pending a departmental enquiry under r.12(2) of the Central Civil Services (Classification, Control & Appeal) Rules, 1965 on September 3, 1959."
train_00000,22,0.13,reasoning,"He observed that ordinarily he would have left it to the Department to pass an order under FR 54 as to whether the suspension of the appellant for the period from September 3, 1959 to May 25, 1970 was justified or not but due to the inactivity or refusal on the part of the Government to pass an order under FR 54, the Court was left with no other option but to deal with the question."
train_00000,26,0.15,judgement,The order of compulsory retirement dated 25.4.1972 is set aside.
train_00000,28,0.17,reasoning,The continuation of suspension of the petitioner was without any justification.
train_00000,35,0.21,reasoning,"Although there is a healthy trend and the Government of India has set up an independent Ministry Ministry of Personnel, Public Grievances & Pension for settlement of claims in regard to pension, this case is an instance where a civil servant had been subjected to endless harassment for no fault of his own."
train_00000,57,0.34,facts,"As already stated, the authority competent to order reinstatement failed to make an order in terms of FR 54 after the appellant had been reinstated in service on May 25, 1970 within a reasonable time."
train_00000,62,0.37,reasoning,"The Government was justified in withholding increments under FR 25 pending the departmental inquiry but after the High Court had quashed the departmental inquiry, the question whether the appellant could be deprived of his increments under FR 25 was a live issue till the controversy was settled by the Government of India, Ministry of Finance decision dated September 21, 1967."
train_00000,70,0.42,reasoning,"Otherwise, the normal procedure should be followed."
train_00000,108,0.64,reasoning,"II at p. 2171 is ""to remain alive as on food; to continue to exist""."
train_00000,139,0.83,reasoning,The stoppage of such increments at the efficiency bar during the pendency of a departmental proceeding is not by way of punishment and therefore the government servant facing a departmental inquiry is not entitled to a hearing.
train_00000,151,0.9,reasoning,"It enjoins that the cases of government servants for crossing of the efficiency bar in the time scale of pay should be considered at the appropriate time and in case the decision is to enforce the bar against the government servant, he should be informed of the decision."
train_00000,163,0.97,judgement,The result therefore is that the appeal succeeds and is allowed with costs.
train_00001,0,0,facts,"The Judgment of the Court was delivered by PUNCHHI, J."
train_00001,1,0.03,facts,"This appeal by special leave is directed against the Award of the Central Government Industrial Tribunal, New Delhi, in I.D. No. 40 of 1986 published in the Gazette of India, New Delhi dated 21.10 89."
train_00001,2,0.06,facts,The appellant is the Mathura Refinery Mazdoor Sangh (here after referred to as 'Union ').
train_00001,5,0.14,facts,"These labourers are contract labourers coming under the Contract Labour (Regulation & Abolition) Act, 1971."
train_00001,6,0.17,issues,The nature of their work has grouped them .Some of the labourers have formed themselves into cooperative societies and those societies have entered into labour contracts with 470 the Refinery.
train_00001,13,0.37,issues,"To what relief are the workmen entitled?"" Status quo was ordered to be maintained and the services of the workmen were ordered not to be terminated."
train_00001,14,0.4,facts,"At that time, the services of 48 workmen alone were involved but as is evident the adjudication of the Tribunal would have affected others too."
